,X,Y,Z
0,-40.479288745726684,-12.05726499647944,-40.998087324002164
1,-34.65616956243606,-31.829820255363966,-26.94756129992054
2,-34.32818689611643,-32.561206353352276,-29.867695102551824
3,-14.003559330552397,-18.87381702851936,-26.92576886197999
4,-41.91488504460373,-41.726881616252605,-41.230934350917785
5,-38.71486884022688,-38.47857314261343,-37.905596672838904
6,-36.80315801733983,-36.52612172200125,-35.900279948471876
7,-29.672925362612453,-25.5534984061768,-16.45188874796822
8,-32.195143713250374,-12.21138525078517,-30.33749313694836
9,-47.39396615055429,-43.88028097785519,-12.047782530730771
10,-25.190235308340135,-29.59858164996236,-32.24430897525151
11,-34.765643063385944,-37.64395037331572,-39.468584505172075
12,-36.06826943311778,-36.04885397294524,-35.70137301487126
13,-35.498622325193864,-34.44087409111554,-32.83536184131876
14,-45.85396207950161,-44.909312111868395,-43.31657261190968
15,-36.15293364117247,-36.519856753439385,-36.559190852574666
16,-45.76538175572289,-46.32962620426631,-46.63186581641269
17,-43.557823657472596,-42.47898189756265,-40.76288286454747
18,-40.677767200885924,-39.49207685421229,-37.66784002736137
19,-36.752378530352374,-37.962079106114594,-38.722660495747654
20,-48.14258959816144,-47.60905027594086,-46.61485806946632
21,-33.789848048044774,-32.08208114283268,-29.492214446762738
22,-36.119047276372676,-37.9574607778642,-39.16397460920713
23,-39.46136576064137,-38.53690968569226,-37.10478139952526
24,-28.910995535424412,-12.480932923484595,-25.894970034502514
25,-37.32876178329524,-37.386966998547685,-37.1248646576033
26,-27.044053952305966,-19.047935989169368,-13.929364302469525
27,-38.228220026816444,-37.64932659297618,-36.67053672388541
28,-43.55304386271813,-12.048555992760463,-43.234262410885776
29,-38.27558626562008,-37.06561537509386,-35.22939482210389
30,-35.43549754111507,-36.16503853458807,-36.53231883447094
31,-25.385753940090062,-29.56386784447997,-32.10763955725996
32,-35.63488103091755,-37.119456855246916,-38.08514575278121
33,-35.97715009888124,-34.79064792592041,-33.00100054264728
34,-34.16651222607748,-32.41033852066768,-29.736408330706503
35,-33.931613994493695,-35.48147531832283,-36.49747322711143
36,-36.065656166388194,-35.0335289974568,-33.46233846699997
37,-12.296893017071666,-28.44712836566389,-34.85630373758247
38,-35.16559528434857,-32.892057127538024,-29.24442798996829
39,-39.873233248400275,-40.75581246239567,-41.26364800661132
40,-27.544995330514638,-12.351159731429915,-30.068674574066563
41,-39.636360249301646,-39.08996031670567,-38.154219362872865
42,-44.195531882675056,-45.66729174489215,-46.519927542316914
43,-38.2027102726824,-36.992732158794674,-35.157028842693364
44,-41.11455671257295,-39.938752824296806,-38.123223156934664
45,-37.76178068117175,-37.37194986731954,-36.61937003555237
46,-44.15698852034147,-43.115774882649646,-41.44163724597868
47,-32.42444132135794,-29.95133812189121,-25.923504474633855
48,-36.62285984678037,-36.34028226368384,-35.707689166544796
49,-48.99120884791554,-48.88107816045728,-48.65931126478358
50,-39.52744476603779,-39.61310301832144,-39.3913243596605
51,-15.068117207685974,-16.982581726543664,-25.797996116390415
52,-38.63900909220466,-37.6897853992913,-36.22623715577426
53,-43.346593035161874,-42.57216120388138,-41.330752955975704
54,-36.227628929222206,-39.09267244230642,-40.88205339426348
55,-27.98909722112182,-12.63430800882377,-24.4759491555847
56,-40.65827657242422,-39.47218853781106,-37.64761497281729
57,-43.52014187793033,-43.077256851680026,-42.289324840478585
58,-32.55739569625125,-35.99286981906586,-38.12754547422657
59,-48.89110171931809,-49.00036796220236,-49.03230573704082
60,-34.10320318271893,-32.35197221701024,-29.68687811540482
61,-38.86655183637016,-39.096497979967445,-39.01549140752462
62,-39.235324656702694,-39.99237621899345,-40.394480849659224
63,-40.198985751276346,-39.00455010961581,-37.17325901680433
64,-36.4402563977064,-36.814614772225866,-36.861958734105094
65,-33.845088826124176,-32.12361507692532,-29.510442746403186
66,-35.00711197833886,-33.914202395026045,-32.260652187879316
67,-40.10020704982372,-41.850108959152536,-42.96028609583927
68,-44.64485505108337,-43.56581439568485,-41.80486271883573
69,-40.67619148708222,-39.790880236341046,-38.408157974318506
70,-47.19477182858394,-47.12391731512484,-46.87632691337122
71,-35.95521523646866,-35.945004024258054,-35.60685034840055
72,-13.929324942758559,-19.048030368801466,-27.044118583700858
73,-32.2939552311701,-27.358753286152137,-12.78123475350623
74,-37.001126375451236,-36.25339400741574,-35.06079849574717
75,-22.70496052130853,-12.902574255277006,-26.956753612034273
76,-32.86789386235349,-30.143128813296993,-25.542638924474055
77,-35.59738405759683,-34.917648112666434,-33.81102742564192
78,-25.18661102960664,-14.645534390132827,-17.622752538987612
79,-40.32462731090472,-39.13228346673069,-37.30260203309268
80,-33.29127935112882,-35.091859650541004,-36.28507314915182
81,-29.857903580735858,-33.46122066825951,-35.70822141499561
82,-34.559318081842235,-32.96152623358586,-30.54825644904505
83,-41.689165609148056,-42.173074960103555,-42.354642865502434
84,-45.2491571165566,-44.5931797075475,-43.50917315948158
85,-34.2755326987244,-31.464371647190674,-26.628968432002146
86,-31.83410364705534,-26.9513246042118,-12.90440568530194
87,-42.37440099173693,-41.55411792831394,-40.25377918124387
88,-49.94083771995588,-49.927122502148215,-49.89964397469927
89,-34.35427743572842,-31.539769295252906,-26.69427439469534
90,-39.572836509680634,-39.97520703292308,-40.06430347897052
91,-29.5004831420856,-25.184748854276926,-15.118506225058336
92,-40.67795440170112,-39.4922678922605,-37.66803432058254
93,-35.45050063755155,-34.28053921898182,-32.51652097167892
94,-14.012603014246928,-18.853097414356633,-26.91182263241992
95,-33.85540649766699,-32.13209152269461,-29.515761936133362
96,-40.65380020457635,-39.467621345130794,-37.64297105067331
97,-33.36506134239351,-35.16807471724172,-36.362740436371624
98,-25.647020530819876,-13.651836021073231,-19.773591948054857
99,-34.5183133839369,-31.69718267844663,-26.8313480185383
100,-36.12878361326184,-34.93877272960559,-33.14346569006618
101,-42.142671699061566,-41.31253123370337,-39.9996331022292
102,-37.40716953383596,-35.93322475577395,-33.69689211732296
103,-35.73296159147456,-35.069256416000925,-33.98273445130938
104,-29.498666262186134,-25.18707132215347,-15.142694392843232
105,-35.676578233807426,-35.98969652470131,-35.97602337000228
106,-31.54222125074114,-12.244933280329032,-29.505224148455774
107,-45.523506369081346,-45.64958081253558,-45.56076943186252
108,-30.493890154586254,-25.81594357224354,-13.494530946806568
109,-29.61434507873131,-25.46686734197585,-16.23586493873645
110,-19.255462040085025,-13.844976598384173,-25.486599000954755
111,-39.15327184582915,-39.07171398441661,-38.67147863933706
112,-37.14384469848531,-35.9387121713572,-34.116713901671744
113,-48.76351171128363,-48.80762159780708,-48.76959909644927
114,-43.31956683743072,-41.53284219161395,-38.50224893526496
115,-40.18585715349601,-38.99121107980217,-37.15976147223971
116,-32.13115239017388,-34.442835353323076,-35.97172291546065
117,-33.62993472137694,-30.03906616119533,-22.93553884711323
118,-36.115304087616494,-32.68738058134482,-26.016667925803986
119,-40.91075374305152,-39.7301015194151,-37.9102284704463
120,-41.494431299164944,-40.63851879536088,-39.29292501562251
121,-13.896219689426585,-19.128196047955,-27.099212844653678
122,-26.941774292536557,-30.808242558964803,-33.201189340795494
123,-15.157380606330587,-16.861221532832545,-25.73848588322001
124,-43.71512777872433,-42.645526536275696,-40.93960333639618
125,-43.06356610518068,-42.8926433164068,-42.42965159124174
126,-36.73119049163695,-12.092203000156703,-35.74051656939331
127,-39.59238472381418,-38.38978585502429,-36.55302640967817
128,-42.679211219384605,-40.97541253796139,-38.172512854470426
129,-44.12465322272091,-43.081234840111534,-41.40460149576945
130,-47.58799891563187,-47.809197911994474,-47.88191124997526
131,-35.15350785003144,-33.998526043573335,-32.256817480066594
132,-40.02060895316895,-39.931821550782374,-39.5294686385509
133,-35.02183664764515,-33.87705354958472,-32.150226101528816
134,-18.459786108060335,-26.652647229799594,-30.557539902556975
135,-36.36728742004651,-35.17253937019155,-33.3693871565613
136,-40.742197937212154,-39.401428901312,-37.33045184082191
137,-26.85893795264361,-30.73600034453179,-33.134371762093636
138,-35.998933983895476,-35.686666166622935,-35.01891967768068
139,-21.58166340854968,-13.133818020883295,-26.38602365891917
140,-33.161008368805774,-30.412542075767966,-25.75110769072285
141,-37.50176874991903,-36.293922262509966,-34.465931775745645
142,-41.22772906910811,-40.05480102356838,-38.24190257606607
143,-39.530902961789735,-38.98209546822829,-38.04311282061472
144,-25.2184182008575,-29.492480306164524,-32.07964832345394
145,-34.20756804690867,-35.27813904331172,-35.929129299900836
146,-49.37204364806031,-49.68967169232478,-49.8054637579573
147,-36.94082931503443,-35.737773909054766,-33.91986656071508
148,-37.91889763084383,-37.6680530301148,-37.07537807705344
149,-42.664410669825116,-42.48744424511462,-42.01242362778838
150,-36.10720876804347,-29.831768323684983,-12.231073152469001
151,-35.11532291316577,-35.77578657080728,-36.081802884687875
152,-45.66270999194189,-41.066581279131505,-12.054942696496354
153,-38.00774117134472,-36.16942873262946,-33.30331704363358
154,-40.66811702447835,-39.48222932216735,-37.65782523097944
155,-35.98807872314974,-36.28342283697102,-36.2534971440509
156,-35.140380862641855,-33.5745307404608,-31.209287888552105
157,-36.70076423040528,-35.958136935568554,-34.77210577583152
158,-38.299075442055475,-36.461821091607746,-33.59130108963968
159,-33.6191402732576,-39.52530710207127,-42.453962181844894
160,-33.45405901611999,-30.685698476129524,-25.971445384101905
161,-28.98452979304293,-12.470959103400167,-26.003560889825895
162,-38.10772113885572,-37.525935380523066,-36.54338123128792
163,-12.21217499805663,-30.316145882511844,-36.54588248542949
164,-34.80093984318805,-36.63331446687244,-37.842703566577185
165,-26.054510367576817,-30.05631008286104,-32.516808578836155
166,-40.621967570468804,-39.43514832311144,-37.60995891963815
167,-12.5547902404582,-28.423597283412498,-33.46763243512923
168,-44.539374857042745,-45.8995297370521,-46.68672715672955
169,-36.24289019703355,-35.05050297672189,-33.251294563056796
170,-44.01026224386979,-44.36484128840294,-44.46098640461595
171,-38.4039838997878,-40.21303982234345,-41.38183507702866
172,-46.10527617152626,-46.63889682301135,-46.92296830007287
173,-38.614889127609466,-39.01486294963324,-39.095863300554136
174,-35.180267493742676,-35.89979231031928,-36.25785215861757
175,-44.13805235165995,-43.01264071672315,-41.19560379520956
176,-42.07569753130693,-37.01185348691974,-12.088570173248511
177,-36.424786457421725,-36.798791351150115,-36.84574741494189
178,-38.123880831351464,-36.9139424968205,-35.078857401935515
179,-29.507528627402493,-25.27478884262767,-15.633791802405828
180,-36.62953219996946,-36.00719669595811,-34.97271895212137
181,-14.611229555210404,-25.190739382058972,-29.599862410541856
182,-35.958166804608645,-35.61837600365176,-34.91916857037021
183,-35.90283078466961,-35.183166305816556,-34.02632728883926
184,-41.011265113354426,-41.40939333339923,-41.50602647017272
185,-39.18969446224776,-35.96051752868985,-29.669711559268194
186,-35.568309431803996,-32.10649534171861,-25.354846614812196
187,-36.06747156292843,-37.905963775330505,-39.11284585356068
188,-32.149121092767935,-29.621137078371788,-25.477229793824353
189,-17.43556253815464,-26.036435885005442,-30.04169014474141
190,-41.869632692104005,-42.05558697157982,-41.95738708513727
191,-37.108405371666095,-35.903606240632826,-34.082284300022636
