,X,Y,Z
0,-30.274845028720478,-27.650143543007037,-23.196436890940376
1,-25.49452956782548,-36.20717295513781,-29.82349032249532
2,-29.969299360892656,-12.353154316749164,-31.519521315397636
3,-35.323169373440464,-34.260362573961366,-32.59489900896419
4,-33.576920551864326,-24.320699418170193,-37.12149184754166
5,-40.06898891366138,-37.171301385340776,-30.885450779750858
6,-32.125899328234276,-32.79665330387572,-35.435039099948085
7,-33.96734644637882,-31.12694506682692,-29.671255822199186
8,-27.512802223774457,-32.72188802782976,-33.57097252454483
9,-35.49026869140772,-34.350094270923506,-32.56949519244626
10,-34.83490711629109,-34.39002799062943,-33.519354472294616
11,-46.68762069368932,-32.0105324799139,-41.088423666689906
12,-36.09585498794947,-36.0291155220841,-35.67618709132989
13,-43.23583403246262,-38.846907558381965,-34.122557873404055
14,-27.053540230546975,-36.313260631385816,-36.1907479453597
15,-33.429943044473845,-32.2045198161866,-29.968729456183976
16,-35.53307203698282,-35.59333116163997,-35.2548948527749
17,-29.891787549301576,-20.938524967195832,-14.393793192787413
18,-34.515865190902076,-34.5166531648215,-33.25313406990112
19,-17.292777304897136,-16.009717226513775,-20.593216995297293
20,-12.887444364880018,-22.146638531870543,-30.36829639858803
21,-34.46080162804366,-29.613603745616395,-33.06315118825063
22,-43.6727742707323,-42.80749435536843,-41.409708293143204
23,-18.764390802038047,-26.908372739228277,-31.144068769054645
24,-39.18180841543553,-36.35890315443472,-24.80186467548817
25,-35.265479358607955,-33.35418679106401,-27.513558004763464
26,-31.960889673502038,-34.1485726320854,-32.39867497454095
27,-32.513995335954576,-23.335990109397507,-33.47015611008415
28,-45.32210611061733,-40.32497015069034,-49.46853105404777
29,-34.81749579820607,-33.67017102385427,-29.90646330483921
30,-33.70637537959202,-34.65734280140626,-34.989046593269634
31,-38.6541264662197,-38.43750832070421,-37.834329724856694
32,-32.87299820948868,-32.209719827906575,-30.517069308087894
33,-38.634994303403914,-34.46298621442768,-27.07483661341932
34,-35.8841860299175,-34.07155654874789,-41.60572057323559
35,-35.54318533055771,-28.847252095821055,-36.82296395475507
36,-38.10483919704508,-36.84404906335522,-34.91288856357689
37,-44.70929704442001,-42.83570911845145,-39.53628583902619
38,-29.296629825505967,-25.957828759806013,-33.656542752194234
39,-37.44890142239639,-34.299623914273695,-28.027957931740325
40,-17.8196535524809,-26.180312872016025,-30.055979835260867
41,-39.0329669873435,-35.1036781656879,-30.269742021288373
42,-42.123342589461714,-42.777416556929,-43.02750584627638
43,-26.390443951254518,-30.546083754020387,-33.39091091238624
44,-38.234922106183106,-23.35956254382125,-29.97804517076643
45,-35.02556588929274,-34.23382284020532,-33.00425982782512
46,-23.65812267148714,-29.984576364062328,-32.656661622872
47,-22.531756979006975,-30.913024956374468,-35.741499564926144
48,-35.79525388691869,-34.69405367028724,-32.946269850065626
49,-34.37004652998314,-34.23113385639078,-23.376653636071183
50,-25.71340809791964,-37.06733811636791,-36.9204320846619
51,-44.1250577407255,-44.24677999301541,-43.97822281648173
52,-32.24486300402728,-33.69310836187937,-34.12719963646104
53,-44.35684461696013,-44.71771368401957,-44.359791641980586
54,-35.48801638124999,-35.46078475275822,-23.902153760612684
55,-31.854451907603234,-29.69545971843871,-26.17059990856079
56,-35.29517898267677,-35.14327759561344,-34.60881221787993
57,-30.325906962048563,-23.829243260225198,-30.263688911241058
58,-38.2914798612618,-38.04209581624323,-25.845155532947246
59,-36.55338387016654,-23.842658208372484,-33.73019371830247
60,-30.869801886007018,-27.650951710235333,-33.36552563820327
61,-44.391222605681676,-29.957859717092585,-38.46503458759228
62,-35.565395664964434,-12.178383383637081,-46.96902977859432
63,-15.744806892628834,-18.01638725203999,-21.979576793588368
64,-41.35428305553664,-39.55951192843159,-36.31746622338499
65,-32.41715829386303,-30.82796258788287,-28.09971933855637
66,-37.61812496537913,-37.02705310102705,-36.01378049056421
67,-29.39802934549581,-31.814620219135428,-33.22787156451458
68,-45.443901295231456,-42.83280288322875,-39.33699777902527
69,-34.1347642222194,-27.076981487929284,-31.98929116253472
70,-40.18620799141544,-40.12129960913883,-39.85265425400962
71,-33.73123167235323,-33.554467554242514,-32.78785977744866
72,-25.65478264822225,-12.394438234892268,-31.42790882340041
73,-34.406143074951395,-34.33065447238206,-33.80521985371707
74,-29.859233872944614,-22.543482617048536,-26.715279358512582
75,-39.379394650928816,-37.74092484958683,-34.77716833840648
76,-33.30740619835157,-32.73049058145942,-31.61363658987979
77,-40.845812778069245,-40.05600434550231,-38.66777629572232
78,-38.58793626480455,-33.62938909885181,-36.65390135809684
79,-37.38549016007336,-36.771414227278484,-35.71042037326371
80,-35.370267568126266,-34.526884640332725,-33.04514654391762
81,-34.62692380243191,-33.8398646564958,-32.09156458287119
82,-36.50706717830773,-35.0925263267023,-32.15974565144842
83,-16.722958870793892,-17.161855419846177,-22.816075258381833
84,-38.84633903724199,-37.24688430292312,-34.39011838156056
85,-30.741183353815966,-30.919924098773958,-22.990507141296487
86,-30.688316705257712,-43.353088280709535,-32.98971279480376
87,-33.45815736672907,-32.698539017539495,-31.240204014147874
88,-34.31436012717589,-33.00744198793286,-30.895429301878693
89,-31.133380679436936,-26.644775473289748,-28.77620945442635
90,-25.715279902484284,-16.573391873497524,-16.314951967329247
91,-35.96822488412957,-37.731817595876244,-39.101832105356486
92,-33.980762125782725,-32.592955738749765,-29.413521551980686
93,-33.24372108285193,-32.312427388588006,-30.609420147195937
94,-34.43317998351081,-34.457421496597426,-34.21323734848338
95,-35.88239744670077,-29.365835341952454,-12.764540947995922
96,-29.48000407890487,-11.876109417181546,-28.058808273252453
97,-35.11419525250095,-35.18449884035977,-34.73264934878503
98,-31.60317847465704,-29.28480569573928,-25.444403154034188
99,-30.131761909288155,-32.51920025284007,-27.61963759770915
100,-34.09923628082598,-33.10090729366592,-31.562512818546892
101,-25.503969022655756,-34.543170669499446,-32.08496493637745
102,-33.47595145410057,-33.63465686554801,-32.434756747403476
103,-35.76840123690885,-34.38109361811905,-24.648616157814086
104,-26.716166751402177,-33.952110785184004,-30.677551637318384
105,-33.52280531296031,-35.5153589616497,-38.51022032095223
106,-35.35245559308968,-34.790799049593296,-33.77982737218491
107,-21.757465750686443,-31.236424495312974,-26.220785073416735
108,-34.19951028437362,-34.470352431808394,-34.17524928075818
109,-23.770956224099248,-33.56665596512923,-32.45251444981711
110,-13.88280684921952,-23.04874957848602,-30.15044234636992
111,-37.3225036252825,-41.941025160610685,-30.63484503623097
112,-24.34160755404538,-14.771489226672605,-14.694158583508592
113,-44.46899594864617,-38.80588160073345,-48.34165863856609
114,-39.5022641658381,-30.681181234078405,-35.0198529714186
115,-27.854761893083047,-13.26205044952211,-23.494569073424355
116,-42.961712380880115,-41.74624357464704,-12.461318859507273
117,-36.94635722894517,-35.789047525221726,-34.017158812619286
118,-25.382526498710163,-16.486465183837304,-16.32267155607479
119,-18.587064214278957,-14.83711040083946,-26.731109152641025
120,-23.208586925452053,-13.247194208928379,-26.545060922418692
121,-28.659400982393578,-20.828846527915665,-13.834269506549193
122,-26.672259458833466,-25.44945410253312,-24.538970660615945
123,-32.972640374702046,-28.651991442424073,-12.552194857883208
124,-36.83339100934697,-36.031666455591896,-29.42075801205785
125,-33.83107401957561,-32.6696937985697,-26.34101966652475
126,-33.19277734651984,-34.88705555879489,-33.08587749179387
127,-26.224551042736035,-31.136874224548663,-30.054906150562367
128,-27.21157216688424,-34.350323542878165,-31.980652056290126
129,-25.654100558248363,-36.67794550497027,-35.74318857235204
130,-34.61445142070186,-32.905658396199236,-30.454879498846182
131,-47.122518390237076,-45.275745855840334,-42.403218806802904
132,-40.69180025707038,-34.84035872250634,-29.811660695917602
133,-29.964357051965273,-33.3085071896936,-33.019581401437954
134,-43.39495242895591,-41.825316932964604,-28.161178614078565
135,-34.78606774182211,-25.639974233811785,-32.342177411546146
136,-30.458817222711776,-27.42890315106076,-20.07733440665544
137,-35.33777512596006,-34.70406142438195,-33.58874717198093
138,-43.12437305846945,-42.5846237875285,-40.453209866976174
139,-33.86172196741442,-32.99658618447055,-31.493568154581478
140,-38.965541964434216,-35.016324143199554,-32.51601227004534
141,-12.965776207646755,-22.082702593159986,-33.23078279139632
142,-32.89530103421461,-31.48120509087446,-24.856380275160213
143,-39.08679186375671,-38.106945683322834,-36.55039181375053
144,-44.03410683828257,-43.73803455786324,-27.092193634212578
145,-12.367730061169027,-42.61879037038452,-45.31714761722233
146,-34.836104626332165,-37.594753859321564,-42.41702550304116
147,-28.04455854182033,-24.264516862294112,-15.075600531984785
148,-26.97215591158899,-34.54267684725793,-36.46740539832714
149,-24.952208164541773,-15.08681899190635,-18.515865272966884
150,-19.97827858753625,-13.752727920028299,-23.091855479069014
151,-15.768961423502212,-21.577659707995267,-26.824761647195206
152,-24.174494491293967,-27.415117165298287,-32.06263735020786
153,-42.01395558392748,-43.534028257336516,-43.95788734625094
154,-34.36646558164397,-33.47158814780467,-31.98909606778857
155,-34.234128604736,-33.44220379610074,-31.96441071929064
156,-39.57863840140898,-29.744274316757778,-44.63951345733254
157,-43.60106996840124,-42.968129618034645,-41.78088453910827
158,-34.01867759147791,-32.060993079851386,-25.338121005554505
159,-30.558326236119292,-43.20753416776844,-46.89726285096189
160,-14.066760376968574,-24.69164332642066,-29.063315278592864
161,-27.676327860137157,-16.044401087338947,-16.81732934614231
162,-24.977433880725506,-14.843461600004433,-18.55459505658358
163,-28.94323575829918,-25.455523174825245,-13.482639032899922
164,-39.77111065342249,-41.209489209538354,-41.84604549676478
165,-47.70862503040731,-43.68465591764125,-39.49094750773814
166,-33.98234050077528,-30.224358771030314,-41.94083413678371
167,-28.57012095640696,-20.60225139357589,-13.423560690363104
168,-28.712755123455914,-36.01970211115989,-36.71558028665487
169,-39.85796198210962,-39.86948260563997,-37.07921361691852
170,-35.042233193922016,-36.26548517011354,-37.831064989418756
171,-37.796830852193864,-27.18279183319317,-34.2962713822676
172,-38.91524803075911,-38.661026614323994,-37.9665824479389
173,-39.07055673299381,-37.82076777849958,-35.86407896969115
174,-25.70937042864937,-28.132489403836804,-36.52104701465672
175,-20.26657173191964,-30.844041116151004,-33.23423998534845
176,-33.020772996226114,-31.952923591328407,-26.797297302612208
177,-32.27335207948945,-30.240113164563258,-22.84652063681966
178,-45.376661783054985,-45.70580718171331,-45.13046055673221
179,-46.70584943629837,-46.36811155507075,-45.7651026788469
180,-38.97202396825264,-37.515012052527226,-30.913118718508642
181,-30.186739401374766,-33.84068941058631,-28.248306424445005
182,-37.41933384714255,-34.32290620578079,-30.953767752567728
183,-29.338969810218636,-38.64516981768878,-44.96399691234696
184,-26.972955781668535,-32.22504072613255,-32.36139720037899
185,-30.697352706578783,-28.43728135568423,-24.52486261991565
186,-38.32135877122304,-35.64002805924844,-12.168354440367246
187,-19.564485457883553,-14.276886813647211,-25.08856534905851
188,-33.867763307423076,-35.32706238858132,-35.814485376887085
189,-23.407643802553252,-22.193854739075498,-13.58692550335833
190,-27.77204489001396,-39.075237722933615,-21.652432389108995
191,-33.44732708400744,-32.83613212031008,-35.66289318205116
192,-33.32115053298082,-24.917851438291386,-21.8048432447692
193,-32.624616087554244,-32.06698620602887,-30.915436946113168
194,-40.072782073595846,-39.599837833421624,-38.38645198614364
195,-34.45924466746019,-35.04507553211651,-34.66325659843601
196,-31.797324449345197,-21.76112714230952,-25.601231232304308
197,-12.666450557875876,-29.46104471202435,-31.086803023186427
198,-26.160826432760913,-17.696379388189044,-15.292156972418491
199,-32.02098449885391,-32.50636757905696,-31.426248674957968
200,-41.96054594788218,-40.934349357547546,-39.31934035534846
201,-25.027311722610982,-47.65438757926454,-45.7496559936036
202,-33.16923904651063,-26.908023456114314,-33.96564167989791
203,-21.467247022444926,-13.713474786545488,-27.079987944887407
204,-40.178899845128136,-41.17890358411037,-41.30454494041878
205,-27.3716909550239,-30.167826796831196,-27.8484913822331
206,-24.332892495643662,-29.971586423078165,-26.00431227911588
207,-44.372574508078856,-43.48506761797925,-37.72444498848007
208,-33.37560396635809,-24.595276226925215,-33.77857606841492
209,-43.946833000079806,-29.049560196052614,-36.2354994189353
210,-32.932988761256105,-31.206375164963053,-24.41537444254876
211,-28.21549437380647,-35.46493367219646,-30.12637847042452
212,-39.90597238220295,-12.465021860804795,-29.178262307382635
213,-29.627790766785832,-25.363230297400385,-14.161808393354319
