,Random,EI_SK_1,EI_SK_2,EI_SK_3,EI_SK_4,EI_SK_5,Hier
0,-33.95864384250255,-32.53168956884378,-32.53168956884378,-32.53168956884378,-32.53168956884378,-32.53168956884378,-32.53168956884378
1,-33.95864384250255,-28.211903591524784,-28.211903591524784,-28.211903591524784,-28.211903591524784,-28.211903591524784,-32.53168956884378
2,-29.638033839614174,-24.365051149316805,-24.365051149316805,-24.41842570721402,-24.26741905807847,-24.262761184323256,-29.696379690403617
3,-26.907132578034496,-22.678883368708227,-22.678883368708227,-22.732167320035416,-22.669463683818982,-22.120501964781646,-27.32636661287892
4,-24.90592051219428,-20.530058660198918,-20.52594883835643,-20.621851623282662,-20.515062542055656,-19.916812938452118,-23.94444982568126
5,-23.267825565566703,-18.282761233443495,-18.311745422280804,-18.341890150835486,-18.21466286170687,-17.171860649536715,-20.606017600411633
6,-21.70621665561413,-14.862361525555627,-14.957879348714288,-15.052430207791824,-14.838839915442867,-14.79627208538386,-18.12154981705269
7,-20.635644584067364,-12.369685497234629,-12.288930755078741,-12.55078003507387,-12.717404824127543,-13.657387731400897,-15.449933380222705
8,-19.788148631634062,-11.241006269154832,-11.20497538803515,-11.454131393612922,-11.433605384791333,-12.459222860239331,-11.994249289125053
9,-19.00528181187102,-9.922477280367813,-9.928609393480938,-10.011733625282519,-10.053548764276162,-11.530200196760557,-8.983314548733405
10,-18.299604327512913,-8.88309248155933,-8.874652460034207,-9.056271396637955,-9.212766537480507,-10.507087978446277,-5.98975983506068
11,-17.43755433836362,-7.51192520815281,-7.486730508810484,-7.654447420378798,-7.862915227873913,-9.27251232931828,-2.8240491700778807
12,-16.751623842666213,-6.2268067815933925,-6.383556022357454,-6.463324391192071,-6.456989573287863,-7.27985659636806,0.0
13,-16.18598726422324,-5.039825460503652,-5.065181708923683,-5.208933201495647,-5.6211280899498375,-6.723542708187077,0.0
14,-15.569782801920766,-4.1845789266703415,-4.158110793991006,-4.244133423590714,-4.875624218212685,-6.723542708187077,0.0
15,-15.004519618838447,-3.559536895984098,-3.6265383517646317,-3.639652579817075,-4.387638290771535,-6.723542708187077,0.0
16,-14.556553589975662,-3.092803416253723,-3.123504919455505,-3.224583982973923,-3.834998073108609,-6.723542708187077,0.0
17,-14.102884432947345,-2.673276972095044,-2.7530427635999875,-2.885390560056577,-3.3760950798339544,-6.723542708187077,0.0
18,-13.685466402156282,-2.283372718846488,-2.3481831454079933,-2.4580610064279,-3.0482727403005168,-6.723542708187077,0.0
19,-13.328818981086485,-1.973385473802985,-2.06593033866455,-2.153599636676714,-2.7452425782942482,-6.723542708187077,0.0
20,-12.986577058580547,-1.6099599015096218,-1.692602186900147,-1.8250828420033045,-2.466167977658818,-6.723542708187077,0.0
21,-12.679725408631192,-1.3722362507851336,-1.412922514888996,-1.5695711853039103,-2.2439041247022784,-6.723542708187077,0.0
22,-12.345381359263778,-1.0839738670865193,-1.0737705616791082,-1.390636141517289,-2.094073507427768,-6.723542708187077,0.0
23,-12.020831824821315,-0.9042555128594729,-0.9044798575046467,-1.1951599659260443,-1.9824996575896978,-6.723542708187077,0.0
24,-11.792391064749959,-0.7169530560887467,-0.7872756876924594,-1.1203332455807171,-1.8809177483893578,-6.723542708187077,0.0
25,-11.49153479763848,-0.6225682591649417,-0.6798949036703509,-1.0040993379293188,-1.7124632030832274,-6.723542708187077,0.0
26,-11.107381102872331,-0.5778194967810673,-0.6320054508321095,-0.9474032567512469,-1.633166523693673,-6.723542708187077,0.0
27,-10.790996513325839,-0.4892674605619878,-0.5629793926773818,-0.8911405400837956,-1.577430388345169,-6.723542708187077,0.0
28,-10.4165396243692,-0.44733666183297804,-0.5085559350205546,-0.823877994127575,-1.5619289014380333,-6.723542708187077,0.0
29,-10.200206844888328,-0.4128028705254426,-0.45642969974834635,-0.7756276170233894,-1.5334117839154229,-6.723542708187077,0.0
30,-9.763370400040747,-0.3525269146713959,-0.3948149995659466,-0.7067322251679174,-1.5081242789221332,-6.723542708187077,0.0
