,Random,EI_SK_1,EI_SK_2
0,-33.92032977859233,-33.34478497704365,-32.71997121875476
1,-33.92032977859233,-29.1138767902888,-28.27801993962936
2,-29.563849223072005,-28.007476031223124,-24.49803617575728
3,-26.816208576946053,-27.035202823723516,-22.708045480420054
4,-24.911703559872265,-25.95160678904173,-20.557769667052273
5,-23.416396278240292,-25.293568250910347,-18.649163617998354
6,-22.055128699975576,-23.806055034568395,-15.118156390002369
7,-20.872634585922906,-23.28296776545368,-12.478545335094859
8,-19.806307350974,-22.90222024390478,-11.49600801579093
9,-18.911648960321916,-21.802872162283162,-9.920307333009275
10,-18.093444630016855,-20.927876710508084,-8.724128220032732
11,-17.371717822985474,-19.912828547135828,-7.54057349492194
12,-16.702062449954425,-19.154657652610176,-6.418338388653821
13,-16.08719531250672,-18.082087786048135,-5.242920825049663
14,-15.522609190190357,-17.893603419036985,-4.31610824968836
15,-14.946638300853726,-14.871256814905562,-3.629924125807621
16,-14.44094484949446,-14.205199509034644,-3.122850044257903
17,-13.938097692513685,-13.925159767543041,-2.6823775691346476
18,-13.486906359816823,-13.090212107885751,-2.316160707748078
19,-13.066228520969949,-12.394501067393607,-1.967281388693266
20,-12.649778340679514,-11.042523976608734,-1.60236443007371
21,-12.293162393219204,-9.991695787873851,-1.3504137039122444
22,-11.880694705683915,-8.879764665368171,-1.0884845687573839
23,-11.528181194432014,-8.134735169354117,-0.8811255104306925
24,-11.206345536044177,-7.190165037249848,-0.7684828926217743
25,-10.888842393678692,-7.1083715557608596,-0.6687037786095121
26,-10.627060205388114,-6.946033527202868,-0.5668854017688301
27,-10.369472805406673,-5.7651400908486075,-0.48867649370418803
28,-10.10216445593831,-5.363339795990202,-0.4202493379792783
29,-9.813780583866084,-5.007471829106723,-0.3557186511090067
30,-9.602805818115351,-4.830346170346589,-0.31057579100575183
