,Random,EI_SK_1,EI_SK_2,EI_SK_3,EI_SK_4,EI_SK_5,Hier
0,-19.734312914249188,-29.100610734800245,-29.100610734800245,-29.100610734800245,-29.100610734800245,-29.100610734800245,-29.100610734800245
1,-19.734312914249188,-23.151070797395974,-23.151070797395974,-23.151070797395974,-15.319136417765636,-15.319136417765636,-29.100610734800245
2,-15.921999570370174,-16.184792415953783,-17.92776874578485,-18.034058746954642,-12.275776827270608,-12.067852500447795,-23.750955214654557
3,-13.624800055242163,-12.891131423847884,-13.868483871643024,-13.879372365604384,-9.467431537316772,-8.366263081366913,-21.163081972717258
4,-12.203997505137432,-11.535269487291663,-11.459670900965522,-10.580314421189515,-6.2591947610852685,-3.759688478702642,-21.022515421864316
5,-11.204351236279752,-9.581337319358486,-9.624641415523184,-6.6384136935970375,-3.442228103589571,-0.6250652673244169,-18.197520143224164
6,-10.324580319863799,-7.708036816535665,-7.8125580495726465,-4.454541952892073,-1.0142511954214517,-0.053021712268180844,-16.804120250868568
7,-9.684642342015634,-6.787006473889419,-6.072410217366152,-2.783010887394809,-0.24367791615154216,-0.0006623693120371428,-14.744289555858069
8,-9.070384733765323,-5.969204583352859,-4.660952375940924,-1.6780253020713576,-0.044949191180575346,0.0,-13.87242263328673
9,-8.502430585802413,-5.394238988411842,-3.8943239037285156,-1.0641967095187455,-0.0037507688882508134,0.0,-10.493014543276077
10,-8.090036803007166,-4.531301252836292,-3.3369460109031666,-0.5515247813575704,-0.003067152023520517,0.0,-8.341369896121725
11,-7.6783460911845705,-3.5377251170938204,-2.6578015140924305,-0.17572741407482773,-0.0017278447522653159,0.0,-5.706421871839264
12,-7.329001057854881,-2.8313967841184793,-2.3235615805663525,-0.10527443095679655,-0.0012317300443245305,0.0,-4.232318307138736
13,-7.007743296597439,-2.576406445765625,-1.7999990767729876,-0.07327394661573502,-0.001087051261479912,0.0,-4.232318307138736
14,-6.6605128357509775,-2.3635442026234057,-1.4997068814284058,-0.04162253053243955,0.0,0.0,-4.232318307138736
15,-6.3765443956097005,-2.148081775456389,-1.308944632441821,-0.021172631089467833,0.0,0.0,-4.232318307138736
16,-6.119530089681941,-1.88430870456179,-1.1290889915662703,-0.008240949507042062,0.0,0.0,-4.232318307138736
17,-5.818711212933548,-1.6761356401671519,-0.9882748804334536,-0.006097674034712296,0.0,0.0,-4.232318307138736
18,-5.558538127178992,-1.4535710148413346,-0.7964456568419345,-0.0010867851072074136,0.0,0.0,-4.232318307138736
19,-5.369167023618749,-1.27387650747143,-0.630831924452807,0.0,0.0,0.0,-4.232318307138736
20,-5.123563041410297,-0.905434246359331,-0.5410607357907996,0.0,0.0,0.0,-4.232318307138736
21,-4.897080338712874,-0.7759764176141103,-0.41705468830037346,0.0,0.0,0.0,-4.232318307138736
22,-4.747660864597306,-0.69323306549551,-0.34594212857055745,0.0,0.0,0.0,-4.232318307138736
23,-4.626941131272338,-0.6195568125864533,-0.2696024296709205,0.0,0.0,0.0,-4.232318307138736
24,-4.504481255057173,-0.4974405365510515,-0.2275344030854885,0.0,0.0,0.0,-4.232318307138736
25,-4.429498393115841,-0.39140893394478554,-0.20264315298852809,0.0,0.0,0.0,-4.232318307138736
26,-4.28395113450941,-0.3176250681773607,-0.1328807796362062,0.0,0.0,0.0,-4.232318307138736
27,-4.1480646385097995,-0.2753100156515415,-0.12443098179862508,0.0,0.0,0.0,-4.232318307138736
28,-4.026618637611728,-0.2510891060853358,-0.09258358153023445,0.0,0.0,0.0,-4.232318307138736
29,-3.8847656169061007,-0.24479837160861018,-0.07325745000628217,0.0,0.0,0.0,-4.232318307138736
30,-3.744797241482241,-0.23766175335549894,-0.0582755069018847,0.0,0.0,0.0,-4.232318307138736
