,Random,EI_SK_1,EI_SK_2,EI_SK_3,EI_SK_4,EI_SK_5,Hier
0,-29.962039676318383,-28.76956547651249,-28.76956547651249,-28.76956547651249,-28.76956547651249,-28.76956547651249,-28.76956547651249
1,-29.962039676318383,-19.60911716045182,-19.60911716045182,-19.60911716045182,-19.60911716045182,-19.60911716045182,-28.76956547651249
2,-26.08598667934806,-17.57909366301292,-17.057753463255423,-17.588583413238567,-17.494828655702168,-17.554863844254815,-27.183124860128938
3,-23.41771672944696,-15.532869744929155,-14.835281595684043,-15.210427271176103,-15.415681587699037,-15.55676012945956,-25.74655755174585
4,-21.60899382836455,-14.234082395382087,-13.092780468588838,-12.774809404782374,-13.71631052393846,-13.839430527049688,-22.70467733689162
5,-20.2059006719208,-13.16863704158329,-11.61051070982007,-10.364026205401617,-11.862587207764191,-12.052504432057653,-20.03751068792913
6,-18.91659372536836,-12.06362829462508,-9.983901594577079,-8.476975829248731,-9.910772601743897,-11.016810347285677,-18.042291018343963
7,-17.943757834962096,-10.94405647181992,-8.869359671226098,-6.730117434664315,-8.35875969214323,-9.836317554025133,-15.636831319956803
8,-17.0325358353249,-10.13295422651484,-7.947310561006374,-5.480394756195047,-7.035132307968563,-8.906400312484388,-12.541943823972574
9,-16.16216887403669,-9.500607538752636,-6.996410099910142,-4.3548366298943435,-5.774767695114163,-7.840351352662109,-10.05895689437329
10,-15.41806173929214,-8.915249804755843,-6.25766394357624,-3.639216138993964,-4.671095440368752,-6.6863583541035485,-6.972071610453556
11,-14.723954216752825,-8.448484342067237,-5.439098486045434,-3.0927771346324557,-3.7691093606775623,-5.7270440471085236,-3.9897779431932836
12,-14.106014615852013,-7.968898258622632,-4.883682722178995,-2.5705346417516006,-3.0394447150040063,-4.842009038694378,-1.2440487974034806
13,-13.539275811887704,-7.526618127362966,-4.285087423814615,-2.1157583980976846,-2.4621597639952446,-3.852716328396168,-1.2440487974034806
14,-13.11295717479241,-6.979463637405838,-3.84677162698863,-1.9028410876111883,-2.0545038503150144,-3.1135853336415917,-1.2440487974034806
15,-12.76855323121061,-6.561768523402055,-3.452942000592653,-1.6990636284642497,-1.7740208889653997,-2.5582723990489793,-1.2440487974034806
16,-12.422148768271924,-6.098837002926653,-3.0891420046024245,-1.5484210699470904,-1.413674420177362,-1.9661026077535986,-1.2440487974034806
17,-12.074189457266087,-5.687144562936403,-2.790622181216058,-1.3336852335950193,-1.254886950563617,-1.5510822341341712,-1.2440487974034806
18,-11.67231962845544,-5.3587246499439525,-2.3929313840926856,-1.2081820528135485,-1.0386130266031404,-1.1687757554713876,-1.2440487974034806
19,-11.311930391281269,-4.992248514607024,-2.152285917136819,-1.0304548404876128,-0.9285119200622554,-0.9261044284132327,-1.2440487974034806
20,-11.026678750701285,-4.623167819309612,-1.9434978111761863,-0.9379295341473177,-0.8190570409952825,-0.7181528361210373,-1.2440487974034806
21,-10.781295847927732,-4.300135152500899,-1.7585928129472943,-0.8441084414412596,-0.7186943049733499,-0.5989265158334408,-1.2440487974034806
22,-10.586855175303917,-3.9691958379583774,-1.6155889060982405,-0.769447543812697,-0.6612296376382939,-0.4899201964456887,-1.2440487974034806
23,-10.227797688278903,-3.6496077471014514,-1.4859712792312918,-0.6564290791194825,-0.5376508813484839,-0.41276871319015424,-1.2440487974034806
24,-9.856384101327057,-3.282779200748427,-1.2987648518188737,-0.6183821667208426,-0.5142641669035333,-0.32056111146115757,-1.2440487974034806
25,-9.606161951923804,-2.985588363182631,-1.1401859662825273,-0.5369122155914815,-0.44010780909027597,-0.27494401016557574,-1.2440487974034806
26,-9.414632847222542,-2.7053724163827346,-1.0367952724505765,-0.46614671573699423,-0.3466396452288087,-0.24446948399276006,-1.2440487974034806
27,-9.174267552906612,-2.394814516013036,-0.9273440982304766,-0.4238236179790295,-0.2692091711480829,-0.22719235394058376,-1.2440487974034806
28,-8.96458914414125,-2.145632460593888,-0.8191216336432573,-0.4106407776364918,-0.2290077159841874,-0.2092246417354765,-1.2440487974034806
29,-8.792019237868345,-1.9804212268360708,-0.7411423772436726,-0.4025631944533787,-0.22762255479798027,-0.17808966753698774,-1.2440487974034806
30,-8.644413797283114,-1.7723568003562962,-0.6334181419341414,-0.32884309013647955,-0.20567023814206734,-0.13755750820348453,-1.2440487974034806
