,x_14,y_14,x_15,y_15,x_16,y_16
0,-2.414212268573471,-25.073665263121327,-2.414212268573471,-29.678047650462112,-2.414212268573471,-29.67017097399185
1,-2.4142067038084205,-35.54626110548214,-2.4142067038084205,-34.34724747769296,-2.4142067038084205,-32.53279856238182
2,-2.414164939212642,-37.21910426728439,-2.414164939212642,-36.317564147663376,-2.414164939212642,-34.684210744076545
3,-2.4141188631506965,-38.505092046685704,-2.4141188631506965,-37.80200190663189,-2.4141188631506965,-36.384608563071964
4,-2.4139670611295863,-38.740324464055895,-2.4139670611295863,-38.18945921718657,-2.4139670611295863,-36.51915591474376
5,-2.413949592403203,-38.20643920171867,-2.413949592403203,-37.818149925177515,-2.413949592403203,-36.53562426817733
6,-2.4135948894941537,-36.07822492127778,-2.4135948894941537,-35.550187403144974,-2.4135948894941537,-34.18592891639506
7,-2.4135065232154016,-38.36630310475759,-2.4135065232154016,-37.71068859451654,-2.4135065232154016,-36.28570813258617
8,-2.4133286764289896,-38.221775607764826,-2.4133286764289896,-37.73589675822849,-2.4133286764289896,-36.364967875124805
9,-2.4133226769161396,-36.74401149159537,-2.4133226769161396,-31.84431703642703,-2.4133226769161396,-25.01739015924713
10,-2.4128589460386034,-38.31096182933343,-2.4128589460386034,-37.20317754661078,-2.4128589460386034,-35.47493281022622
11,-2.412578845820445,-37.765637445495706,-2.412578845820445,-36.625257357113064,-2.412578845820445,-34.87478134792908
12,-2.4125541768382317,-35.04715159420674,-2.4125541768382317,-35.71060783748802,-2.4125541768382317,-35.16999079701524
13,-2.4124510927789666,-39.37548661008548,-2.4124510927789666,-31.294078790226724,-2.4124510927789666,-24.688508443794195
14,-2.412296114251207,-38.949782955545736,-2.412296114251207,-37.49371491926218,-2.412296114251207,-35.12903802502651
15,-2.4116437274458877,-33.32227111558189,-2.4116437274458877,-26.923501125345997,-2.4116437274458877,-32.80762232785854
16,-2.411602580998915,-37.36248060911084,-2.411602580998915,-35.578699574268946,-2.411602580998915,-32.56052604824624
17,-2.4114153680187087,-38.94517335768592,-2.4114153680187087,-36.46136027835618,-2.4114153680187087,-26.523482128702636
18,-2.4111662440294888,-34.1347642222194,-2.4111662440294888,-27.076981487929284,-2.4111662440294888,-31.98929116253472
19,-2.4111245277844104,-38.97202396825264,-2.4111245277844104,-37.515012052527226,-2.4111245277844104,-30.913118718508642
20,-2.4110204395362627,-39.738009126373115,-2.4110204395362627,-38.22311559952179,-2.4110204395362627,-35.618361001760576
21,-2.409893709700766,-39.6501348170868,-2.409893709700766,-38.52281712649354,-2.409893709700766,-36.746937823010946
22,-2.4096296858931483,-39.5022641658381,-2.4096296858931483,-30.681181234078405,-2.4096296858931483,-35.0198529714186
23,-2.4095623175413805,-36.647730171563175,-2.4095623175413805,-28.871886469447574,-2.4095623175413805,-37.15872329657244
24,-2.4094028231495646,-40.20035103402571,-2.4094028231495646,-39.79072064796148,-2.4094028231495646,-38.53801499740151
25,-2.4093945779873884,-43.299400594461275,-2.4093945779873884,-40.78021777693411,-2.4093945779873884,-37.760758147754274
26,-2.4093467307311203,-28.83377569981057,-2.4093467307311203,-37.99489786157362,-2.4093467307311203,-38.88755977249746
27,-2.4091738841030956,-39.3564647123723,-2.4091738841030956,-40.802754543821976,-2.4091738841030956,-40.31025616385048
28,-2.4090880649518973,-35.25328924685914,-2.4090880649518973,-36.59169780972508,-2.4090880649518973,-36.284581901236365
29,-2.40899295959634,-38.374214820433835,-2.40899295959634,-38.108459983408665,-2.40899295959634,-36.94133476935405
